hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
239,1.00584593,1.00315021,1.00275599,1.00496753,1.00486893,1.00857897,1.00850226,1.00406841,1.00471022,1.00214712,1.00120601,1.00248017,1.00685623,1.00385130,1.00109280,1.00644192,1.00772049,1.00878880
240,1.00412654,1.00319796,1.00795452,1.00283963,1.00330600,1.00324664,1.00382558,1.00120902,1.00724057,1.00859699,1.00850422,1.00806912,1.00457105,1.00230947,1.00381663,1.00843323,1.00744301,1.00155092
241,1.00730461,1.00347940,1.00171201,1.00341635,1.00275242,1.00534558,1.00234632,1.00842685,1.00859950,1.00826924,1.00461290,1.00323440,1.00628622,1.00558881,1.00145869,1.00315792,1.00833605,1.00715451
242,1.00395345,1.00893079,1.00404768,1.00644491,1.00554641,1.00494114,1.00366243,1.00351126,1.00127259,1.00822800,1.00608379,1.00216848,1.00673486,1.00192674,1.00201205,1.00598446,1.00762097,1.00290186
243,1.00291538,1.00413137,1.00658346,1.00608069,1.00127327,1.00309306,1.00878969,1.00742887,1.00896274,1.00679317,1.00884280,1.00744078,1.00864585,1.00214929,1.00133624,1.00242435,1.00392584,1.00107641
244,1.00636872,1.00655385,1.00749427,1.00720678,1.00676698,1.00201212,1.00454959,1.00773960,1.00393773,1.00733704,1.00260858,1.00196520,1.00806427,1.00784405,1.00809765,1.00638394,1.00844226,1.00717729
245,1.00732849,1.00572755,1.00435880,1.00810899,1.00218479,1.00318508,1.00872405,1.00691102,1.00804812,1.00259172,1.00367576,1.00201437,1.00569604,1.00896555,1.00734926,1.00715793,1.00105533,1.00352186
246,1.00181356,1.00560888,1.00769945,1.00376559,1.00710501,1.00195910,1.00366145,1.00561101,1.00697523,1.00204510,1.00747313,1.00584681,1.00415949,1.00299896,1.00141357,1.00502295,1.00424651,1.00297983
247,1.00570028,1.00473556,1.00412635,1.00398726,1.00444535,1.00292755,1.00267837,1.00899995,1.00207374,1.00631668,1.00347387,1.00405145,1.00145520,1.00167110,1.00841621,1.00893109,1.00778193,1.00751727
248,1.00196854,1.00638060,1.00214187,1.00213896,1.00389825,1.00561811,1.00851819,1.00677536,1.00520751,1.00161669,1.00821068,1.00182083,1.00161149,1.00879295,1.00835585,1.00804925,1.00298216,1.00412423
249,1.00835439,1.00196576,1.00603584,1.00285620,1.00364900,1.00276905,1.00141128,1.00435297,1.00713742,1.00756411,1.00271443,1.00143957,1.00195315,1.00124420,1.00778073,1.00898058,1.00871285,1.00335472
250,1.00599140,1.00610040,1.00404447,1.00479736,1.00882083,1.00888692,1.00560949,1.00514986,1.00281689,1.00235291,1.00617237,1.00472604,1.00661353,1.00685963,1.00786832,1.00872730,1.00773704,1.00370425
251,1.00640053,1.00284514,1.00898805,1.00152931,1.00663052,1.00369551,1.00535663,1.00361942,1.00148589,1.00457602,1.00225428,1.00198582,1.00318881,1.00334881,1.00459677,1.00344078,1.00137522,1.00866056
252,1.00609036,1.00619329,1.00610489,1.00838909,1.00649968,1.00434429,1.00606612,1.00369101,1.00226197,1.00664939,1.00340817,1.00159203,1.00559144,1.00417435,1.00747064,1.00636910,1.00683071,1.00585505
253,1.00685060,1.00460505,1.00843633,1.00282968,1.00199997,1.00173190,1.00434769,1.00131381,1.00192152,1.00517327,1.00799849,1.00895700,1.00737911,1.00208611,1.00504144,1.00870730,1.00683725,1.00585284
254,1.00681388,1.00227531,1.00490710,1.00457502,1.00566613,1.00687112,1.00198376,1.00295563,1.00487946,1.00326334,1.00657233,1.00720610,1.00282154,1.00479202,1.00372726,1.00279823,1.00145543,1.00398760
255,1.00135715,1.00212459,1.00518921,1.00707139,1.00783960,1.00124029,1.00854018,1.00713218,1.00681603,1.00259172,1.00599375,1.00777329,1.00319451,1.00276183,1.00116261,1.00424376,1.00448582,1.00487794
256,1.00828019,1.00718555,1.00708298,1.00738180,1.00564500,1.00806760,1.00307844,1.00295855,1.00579830,1.00293658,1.00227698,1.00663705,1.00299261,1.00610652,1.00786984,1.00158222,1.00138191,1.00436102
257,1.00580840,1.00618588,1.00602616,1.00199468,1.00685564,1.00417007,1.00541085,1.00725385,1.00358432,1.00828336,1.00779357,1.00225446,1.00461285,1.00604153,1.00259982,1.00580619,1.00392902,1.00475739
258,1.00184162,1.00611023,1.00526405,1.00735609,1.00623610,1.00503712,1.00836986,1.00457713,1.00418624,1.00305500,1.00784539,1.00257942,1.00765339,1.00317399,1.00757223,1.00658047,1.00159764,1.00278745
259,1.00839163,1.00623508,1.00584365,1.00704149,1.00172800,1.00322703,1.00705292,1.00876172,1.00668433,1.00851274,1.00394403,1.00236284,1.00870108,1.00297846,1.00544822,1.00261977,1.00118730,1.00522511
260,1.00781000,1.00142212,1.00186369,1.00194350,1.00316337,1.00435090,1.00135770,1.00490272,1.00476764,1.00646316,1.00794692,1.00226818,1.00247690,1.00863430,1.00259128,1.00177583,1.00607722,1.00179203
261,1.00418755,1.00311117,1.00830964,1.00469740,1.00593476,1.00352052,1.00735466,1.00634793,1.00373285,1.00156950,1.00794235,1.00502272,1.00815267,1.00514488,1.00466158,1.00341741,1.00293003,1.00749924
262,1.00631828,1.00864071,1.00316417,1.00716143,1.00403697,1.00536280,1.00118188,1.00249308,1.00194659,1.00676308,1.00526940,1.00418366,1.00647446,1.00485781,1.00392086,1.00528823,1.00618331,1.00274295
263,1.00682286,1.00161673,1.00739697,1.00752289,1.00855924,1.00107102,1.00329024,1.00307889,1.00101151,1.00560635,1.00707785,1.00863159,1.00260513,1.00288722,1.00642705,1.00505959,1.00112730,1.00312019
264,1.00507533,1.00856704,1.00467778,1.00362830,1.00851800,1.00191348,1.00528266,1.00758143,1.00345014,1.00810361,1.00200791,1.00206738,1.00406838,1.00641183,1.00359969,1.00509686,1.00875195,1.00884721
265,1.00513536,1.00388151,1.00155030,1.00646878,1.00671757,1.00621129,1.00712457,1.00491059,1.00710876,1.00464370,1.00405414,1.00628812,1.00856219,1.00508699,1.00799023,1.00585096,1.00430944,1.00819764
266,1.00503191,1.00170790,1.00880686,1.00185862,1.00492899,1.00187763,1.00549418,1.00532863,1.00389502,1.00666196,1.00540192,1.00444848,1.00130213,1.00603175,1.00499497,1.00371663,1.00644472,1.00214379
267,1.00751841,1.00156362,1.00133812,1.00267356,1.00537724,1.00223878,1.00413666,1.00281118,1.00869852,1.00825754,1.00161590,1.00527969,1.00602501,1.00475253,1.00536964,1.00882489,1.00679325,1.00307185
268,1.00469096,1.00705019,1.00690360,1.00256623,1.00446102,1.00346377,1.00651966,1.00158947,1.00230218,1.00233787,1.00676765,1.00113105,1.00871512,1.00474455,1.00641441,1.00227415,1.00728962,1.00176176
269,1.00112002,1.00292289,1.00126969,1.00805551,1.00318058,1.00766816,1.00119968,1.00343755,1.00104301,1.00602991,1.00642307,1.00541860,1.00847537,1.00110345,1.00875560,1.00107273,1.00626655,1.00751109
270,1.00570700,1.00485159,1.00151272,1.00291337,1.00148552,1.00818260,1.00556237,1.00626158,1.00599562,1.00800665,1.00766060,1.00484420,1.00829308,1.00438762,1.00658748,1.00266336,1.00564064,1.00538718
271,1.00250817,1.00280100,1.00177481,1.00620576,1.00381974,1.00178253,1.00504184,1.00715497,1.00536061,1.00637075,1.00738956,1.00472012,1.00268669,1.00371351,1.00596742,1.00646394,1.00819454,1.00788700
272,1.00680572,1.00439882,1.00472359,1.00459761,1.00842485,1.00328351,1.00135143,1.00770119,1.00642138,1.00884713,1.00754650,1.00446242,1.00342971,1.00577525,1.00398909,1.00844852,1.00568584,1.00648348
273,1.00857742,1.00722879,1.00399018,1.00441037,1.00815887,1.00648223,1.00555395,1.00844834,1.00717953,1.00854249,1.00858437,1.00149231,1.00594617,1.00439119,1.00542180,1.00179011,1.00798666,1.00234359
274,1.00516082,1.00895881,1.00703375,1.00328707,1.00282002,1.00237624,1.00774669,1.00717256,1.00199928,1.00872364,1.00734936,1.00863262,1.00752923,1.00341910,1.00116433,1.00112800,1.00482231,1.00295859
275,1.00596991,1.00741759,1.00697142,1.00315144,1.00831867,1.00547983,1.00264153,1.00316618,1.00849925,1.00294739,1.00365886,1.00134382,1.00672548,1.00276686,1.00793173,1.00730090,1.00129821,1.00816949
276,1.00333635,1.00101833,1.00327285,1.00805547,1.00770764,1.00434707,1.00540989,1.00280591,1.00100966,1.00371345,1.00754120,1.00414474,1.00272282,1.00433044,1.00584457,1.00787356,1.00127411,1.00857695
277,1.00425679,1.00883101,1.00193356,1.00507611,1.00690766,1.00795499,1.00863234,1.00503869,1.00577540,1.00694151,1.00255375,1.00194023,1.00793782,1.00483724,1.00825449,1.00250488,1.00228738,1.00554759
278,1.00461310,1.00818348,1.00273685,1.00414603,1.00235890,1.00429611,1.00830483,1.00190670,1.00562820,1.00358577,1.00648577,1.00322479,1.00197335,1.00895264,1.00399473,1.00265983,1.00314898,1.00584478
279,1.00202968,1.00691130,1.00281455,1.00502411,1.00386154,1.00444590,1.00208177,1.00453675,1.00600779,1.00686987,1.00835935,1.00551548,1.00139751,1.00427827,1.00808588,1.00295637,1.00720876,1.00415866
280,1.00434458,1.00723123,1.00249045,1.00601868,1.00787351,1.00418549,1.00828743,1.00129648,1.00762875,1.00264010,1.00158674,1.00869185,1.00567611,1.00854247,1.00416728,1.00195792,1.00286711,1.00352803
281,1.00596218,1.00257412,1.00640242,1.00723874,1.00756272,1.00841500,1.00417304,1.00130407,1.00401135,1.00340408,1.00769397,1.00172843,1.00562598,1.00304447,1.00578710,1.00378066,1.00857428,1.00305527
282,1.00188824,1.00381582,1.00827591,1.00492355,1.00165168,1.00802276,1.00395021,1.00626413,1.00305906,1.00298285,1.00745485,1.00564649,1.00262513,1.00759456,1.00179416,1.00515910,1.00366198,1.00855527
283,1.00668266,1.00514488,1.00768073,1.00124355,1.00419437,1.00264544,1.00605703,1.00604953,1.00610626,1.00351127,1.00463827,1.00563641,1.00661083,1.00549278,1.00629074,1.00701854,1.00837001,1.00185155
284,1.00589709,1.00724662,1.00604053,1.00354815,1.00443292,1.00579788,1.00745417,1.00296991,1.00497872,1.00131910,1.00480538,1.00184649,1.00735825,1.00643910,1.00359459,1.00176019,1.00348988,1.00505428
285,1.00395096,1.00888066,1.00706229,1.00789088,1.00260578,1.00335661,1.00718320,1.00846773,1.00693432,1.00854061,1.00817970,1.00599763,1.00215567,1.00111077,1.00125241,1.00563927,1.00731815,1.00360671
286,1.00363076,1.00687353,1.00440411,1.00301143,1.00412904,1.00672979,1.00123724,1.00577217,1.00701076,1.00516245,1.00494912,1.00324694,1.00831689,1.00647992,1.00534572,1.00397655,1.00807626,1.00574779
287,1.00136983,1.00515852,1.00186794,1.00893167,1.00634325,1.00447555,1.00397621,1.00579937,1.00746871,1.00345645,1.00659528,1.00595402,1.00456585,1.00345004,1.00894298,1.00879468,1.00779094,1.00486881
288,1.00864308,1.00243194,1.00564760,1.00283143,1.00519532,1.00535753,1.00686718,1.00303613,1.00530063,1.00837423,1.00221388,1.00142471,1.00586861,1.00145693,1.00556584,1.00225184,1.00145663,1.00420661
289,1.00839228,1.00115695,1.00789588,1.00290536,1.00706402,1.00388614,1.00451697,1.00683716,1.00157519,1.00675428,1.00482191,1.00473430,1.00491572,1.00878868,1.00389548,1.00110230,1.00358774,1.00470113
290,1.00659216,1.00144395,1.00728057,1.00281894,1.00248517,1.00223060,1.00509051,1.00254596,1.00643280,1.00752185,1.00470887,1.00184810,1.00156170,1.00503917,1.00760196,1.00665349,1.00324617,1.00875189
291,1.00292138,1.00445346,1.00669734,1.00531258,1.00358872,1.00356682,1.00127039,1.00560857,1.00371913,1.00763518,1.00701659,1.00179503,1.00574846,1.00664569,1.00771388,1.00390266,1.00761330,1.00754721
292,1.00721001,1.00114143,1.00220077,1.00726942,1.00896903,1.00324254,1.00744290,1.00334237,1.00351755,1.00804876,1.00662343,1.00454487,1.00836720,1.00545882,1.00752345,1.00798540,1.00103031,1.00567693
293,1.00652708,1.00292272,1.00362325,1.00484618,1.00601232,1.00645117,1.00753621,1.00256067,1.00273966,1.00164043,1.00169162,1.00585319,1.00129127,1.00786623,1.00487737,1.00431361,1.00431925,1.00220821
294,1.00733254,1.00820279,1.00574798,1.00395265,1.00219596,1.00687045,1.00674337,1.00854779,1.00750641,1.00214250,1.00742546,1.00150901,1.00757451,1.00376559,1.00622084,1.00529955,1.00669406,1.00750345
295,1.00376215,1.00404603,1.00375177,1.00267656,1.00725636,1.00438218,1.00338571,1.00782827,1.00749409,1.00873193,1.00585751,1.00680447,1.00197480,1.00583152,1.00680649,1.00657518,1.00623067,1.00760334
296,1.00448636,1.00412400,1.00396951,1.00225034,1.00447532,1.00691186,1.00532866,1.00779680,1.00707410,1.00401821,1.00718955,1.00522956,1.00698881,1.00455662,1.00806431,1.00743363,1.00179166,1.00207855
297,1.00718384,1.00249888,1.00293388,1.00605708,1.00735139,1.00860327,1.00448750,1.00124329,1.00318379,1.00647087,1.00648769,1.00542197,1.00285484,1.00518890,1.00237548,1.00429575,1.00575294,1.00308005
298,1.00799695,1.00779156,1.00545964,1.00247842,1.00564967,1.00886965,1.00702478,1.00619795,1.00660864,1.00135089,1.00265586,1.00633818,1.00263512,1.00420349,1.00111156,1.00107238,1.00758300,1.00723579
299,1.00811199,1.00295732,1.00215971,1.00882871,1.00277690,1.00288479,1.00586507,1.00775023,1.00395112,1.00756466,1.00734773,1.00457671,1.00468911,1.00117774,1.00177752,1.00294053,1.00571067,1.00568352
300,1.00775494,1.00135387,1.00597035,1.00860989,1.00312473,1.00653883,1.00782142,1.00568553,1.00716057,1.00442299,1.00796915,1.00343622,1.00389412,1.00764580,1.00701574,1.00733993,1.00810596,1.00706480
301,1.00824865,1.00554817,1.00209718,1.00317779,1.00795623,1.00237806,1.00695369,1.00420195,1.00162520,1.00590866,1.00864253,1.00834344,1.00561372,1.00197886,1.00404989,1.00523554,1.00541633,1.00614126
302,1.00707800,1.00814000,1.00137423,1.00817629,1.00297765,1.00375930,1.00683876,1.00583213,1.00351684,1.00729559,1.00121404,1.00783444,1.00748270,1.00101932,1.00709802,1.00695793,1.00477728,1.00100528
303,1.00511394,1.00520187,1.00851046,1.00375739,1.00738635,1.00474520,1.00165372,1.00152590,1.00720328,1.00627244,1.00177889,1.00745195,1.00890500,1.00328217,1.00688865,1.00828097,1.00626594,1.00206190
304,1.00730740,1.00245647,1.00311649,1.00443354,1.00523986,1.00639201,1.00155529,1.00773313,1.00654908,1.00587298,1.00843629,1.00740593,1.00899516,1.00815007,1.00438888,1.00128176,1.00797578,1.00403316
305,1.00760471,1.00274676,1.00897491,1.00370100,1.00450091,1.00641097,1.00105559,1.00773464,1.00539092,1.00347380,1.00771978,1.00670409,1.00634930,1.00663629,1.00126699,1.00238745,1.00630728,1.00868740
306,1.00509041,1.00251313,1.00444992,1.00174893,1.00190848,1.00826767,1.00207602,1.00311786,1.00777529,1.00565809,1.00785335,1.00616729,1.00127956,1.00329802,1.00225863,1.00344895,1.00110874,1.00161685
307,1.00157407,1.00171624,1.00891233,1.00790323,1.00836749,1.00461754,1.00372177,1.00589121,1.00739556,1.00101756,1.00775578,1.00168416,1.00105771,1.00187376,1.00129111,1.00497150,1.00874198,1.00263649
308,1.00506811,1.00407821,1.00899503,1.00431735,1.00813422,1.00731121,1.00526749,1.00762949,1.00672421,1.00203544,1.00181311,1.00407744,1.00265624,1.00771996,1.00747041,1.00279855,1.00750107,1.00384080
309,1.00359047,1.00559649,1.00423424,1.00604234,1.00857314,1.00227628,1.00182813,1.00264730,1.00867166,1.00314527,1.00239823,1.00610744,1.00268538,1.00644140,1.00555176,1.00349327,1.00687953,1.00537483
310,1.00344023,1.00804131,1.00191093,1.00492636,1.00545007,1.00681438,1.00374471,1.00331877,1.00657097,1.00141220,1.00160468,1.00302521,1.00441890,1.00738851,1.00402086,1.00191831,1.00678558,1.00523880
311,1.00598340,1.00876472,1.00587563,1.00504916,1.00610793,1.00292556,1.00113947,1.00810389,1.00352639,1.00680247,1.00480515,1.00675355,1.00416041,1.00529167,1.00352597,1.00810018,1.00498730,1.00818659
312,1.00458367,1.00324126,1.00447446,1.00583652,1.00136102,1.00157891,1.00842289,1.00842288,1.00262895,1.00801141,1.00883359,1.00151765,1.00556334,1.00797443,1.00506064,1.00644434,1.00793133,1.00791680
313,1.00449077,1.00123693,1.00524130,1.00457914,1.00671778,1.00694522,1.00185699,1.00488344,1.00244324,1.00728508,1.00298348,1.00402680,1.00857732,1.00799116,1.00895392,1.00323542,1.00133397,1.00181192
314,1.00429532,1.00256203,1.00551727,1.00537024,1.00671964,1.00103060,1.00258194,1.00753116,1.00204621,1.00438418,1.00123676,1.00443820,1.00669142,1.00240224,1.00143875,1.00669366,1.00356821,1.00828423
315,1.00522247,1.00208556,1.00563445,1.00654234,1.00163206,1.00704971,1.00652528,1.00720491,1.00831887,1.00740322,1.00745918,1.00841106,1.00130595,1.00680174,1.00546406,1.00278628,1.00440510,1.00302596
316,1.00694244,1.00223998,1.00303953,1.00398492,1.00341363,1.00539639,1.00166829,1.00598695,1.00859379,1.00485170,1.00127764,1.00414326,1.00522268,1.00411280,1.00845352,1.00234845,1.00670562,1.00586335
317,1.00424592,1.00736664,1.00767931,1.00891580,1.00665932,1.00221452,1.00278578,1.00341811,1.00173092,1.00796550,1.00499573,1.00128005,1.00567460,1.00789013,1.00475536,1.00395824,1.00126345,1.00712799
318,1.00651938,1.00576653,1.00184093,1.00874099,1.00379346,1.00627958,1.00753161,1.00840606,1.00770146,1.00786078,1.00488381,1.00193831,1.00815233,1.00537634,1.00506233,1.00496718,1.00587578,1.00248877
319,1.00625822,1.00265996,1.00160707,1.00454249,1.00111248,1.00360039,1.00746065,1.00108141,1.00571832,1.00316140,1.00475147,1.00563966,1.00329292,1.00313480,1.00446598,1.00532504,1.00652401,1.00700868
320,1.00591132,1.00886887,1.00237596,1.00464668,1.00577912,1.00343416,1.00553699,1.00469548,1.00121307,1.00765093,1.00196203,1.00628952,1.00171278,1.00360604,1.00357118,1.00246744,1.00474316,1.00639209
321,1.00458712,1.00628952,1.00508310,1.00281141,1.00309496,1.00562026,1.00110412,1.00666755,1.00468443,1.00717056,1.00297902,1.00394659,1.00364970,1.00895975,1.00686201,1.00698532,1.00134763,1.00892600
322,1.00460870,1.00281754,1.00486367,1.00156651,1.00227564,1.00715423,1.00349548,1.00106842,1.00125495,1.00640592,1.00198004,1.00737167,1.00393497,1.00675096,1.00862939,1.00213893,1.00409024,1.00542325
323,1.00332785,1.00667899,1.00165685,1.00187960,1.00184146,1.00345134,1.00722411,1.00110637,1.00596306,1.00812041,1.00570898,1.00476651,1.00837592,1.00775243,1.00439500,1.00177585,1.00705776,1.00714736
324,1.00416975,1.00335572,1.00877475,1.00583399,1.00427811,1.00290367,1.00704992,1.00868236,1.00631438,1.00610713,1.00732931,1.00313115,1.00175759,1.00781618,1.00359168,1.00191106,1.00568445,1.00584931
325,1.00878361,1.00578097,1.00236973,1.00573737,1.00866948,1.00107857,1.00482488,1.00877368,1.00207219,1.00707847,1.00225953,1.00468574,1.00675915,1.00452426,1.00275866,1.00439524,1.00719668,1.00741814
326,1.00348849,1.00646715,1.00675797,1.00670663,1.00824929,1.00817942,1.00276922,1.00312492,1.00891356,1.00728170,1.00554728,1.00506705,1.00211499,1.00583614,1.00465161,1.00248790,1.00685743,1.00262602
327,1.00723656,1.00539983,1.00635089,1.00758595,1.00484411,1.00129797,1.00265053,1.00392901,1.00324085,1.00270020,1.00648435,1.00740880,1.00396183,1.00805280,1.00361077,1.00262254,1.00893903,1.00721501
328,1.00448056,1.00724466,1.00472107,1.00745110,1.00426956,1.00785944,1.00787564,1.00570604,1.00192919,1.00593442,1.00491481,1.00468913,1.00882357,1.00351652,1.00118651,1.00786704,1.00596041,1.00276844
329,1.00113567,1.00715088,1.00730682,1.00239141,1.00775748,1.00145150,1.00628050,1.00698123,1.00315561,1.00553435,1.00339039,1.00540412,1.00439330,1.00858346,1.00245702,1.00323868,1.00691387,1.00482021
330,1.00177700,1.00288940,1.00575644,1.00472380,1.00448987,1.00111726,1.00651768,1.00331540,1.00360104,1.00698277,1.00608705,1.00284083,1.00193814,1.00684129,1.00335731,1.00362239,1.00317269,1.00154037
331,1.00324896,1.00865545,1.00673155,1.00402857,1.00453420,1.00833874,1.00740993,1.00619639,1.00468376,1.00808820,1.00691875,1.00646221,1.00147523,1.00544312,1.00390140,1.00168950,1.00418313,1.00465979
332,1.00118283,1.00409777,1.00335902,1.00428615,1.00286025,1.00181606,1.00566671,1.00117170,1.00267647,1.00660228,1.00435464,1.00661216,1.00149943,1.00437378,1.00562236,1.00177452,1.00467153,1.00801822
333,1.00289879,1.00747103,1.00835339,1.00657297,1.00327979,1.00167201,1.00469523,1.00437316,1.00276643,1.00791552,1.00331759,1.00183679,1.00160460,1.00295445,1.00757618,1.00656276,1.00294602,1.00635018
334,1.00299826,1.00369855,1.00409826,1.00269411,1.00154399,1.00506083,1.00664418,1.00434420,1.00267619,1.00432156,1.00251555,1.00554416,1.00281032,1.00245305,1.00293098,1.00810098,1.00316867,1.00314846
335,1.00558542,1.00336712,1.00630550,1.00698089,1.00768845,1.00660657,1.00241427,1.00168737,1.00277783,1.00235070,1.00488588,1.00112267,1.00818636,1.00670445,1.00679540,1.00790505,1.00749871,1.00722240
336,1.00197922,1.00311888,1.00271234,1.00291990,1.00273051,1.00832999,1.00238817,1.00151165,1.00779516,1.00593453,1.00851667,1.00390036,1.00641988,1.00197282,1.00584177,1.00307898,1.00836232,1.00609725
337,1.00588151,1.00234133,1.00317533,1.00809162,1.00500526,1.00127355,1.00717611,1.00791570,1.00211140,1.00513578,1.00444009,1.00820897,1.00644586,1.00629572,1.00857703,1.00382352,1.00624067,1.00387547
338,1.00718188,1.00888774,1.00767152,1.00377992,1.00221553,1.00225608,1.00701852,1.00590126,1.00442900,1.00172281,1.00520265,1.00864661,1.00410960,1.00103950,1.00138670,1.00337388,1.00468519,1.00710522
339,1.00281339,1.00882437,1.00212179,1.00597896,1.00770054,1.00801859,1.00499711,1.00694237,1.00593799,1.00260817,1.00325332,1.00704444,1.00612382,1.00865985,1.00206772,1.00687031,1.00579562,1.00186641
340,1.00600433,1.00490537,1.00619353,1.00577230,1.00858766,1.00864589,1.00333097,1.00461789,1.00740371,1.00156669,1.00448599,1.00835591,1.00874902,1.00735539,1.00438718,1.00771239,1.00616833,1.00163731
341,1.00465313,1.00609026,1.00662381,1.00859267,1.00896272,1.00406296,1.00587968,1.00693647,1.00683683,1.00513758,1.00783012,1.00227832,1.00569237,1.00841191,1.00131706,1.00301523,1.00147132,1.00591865
342,1.00359570,1.00532490,1.00265247,1.00178327,1.00503437,1.00554116,1.00473550,1.00485167,1.00100077,1.00512802,1.00793721,1.00629026,1.00419472,1.00779936,1.00118053,1.00703621,1.00604916,1.00359125
343,1.00836254,1.00731355,1.00116446,1.00257704,1.00257176,1.00213555,1.00321274,1.00841045,1.00630439,1.00740961,1.00201876,1.00231783,1.00856737,1.00599323,1.00596680,1.00888941,1.00754733,1.00144348
344,1.00444105,1.00835497,1.00588973,1.00582588,1.00229351,1.00504343,1.00893091,1.00214344,1.00626157,1.00601706,1.00265865,1.00820809,1.00455877,1.00470241,1.00291402,1.00263601,1.00154097,1.00434904
345,1.00649256,1.00472421,1.00741574,1.00114642,1.00106324,1.00390603,1.00225693,1.00748087,1.00103893,1.00533045,1.00316142,1.00859190,1.00748054,1.00852128,1.00247080,1.00685706,1.00530635,1.00512222
346,1.00281276,1.00554142,1.00377312,1.00496658,1.00534982,1.00166075,1.00761345,1.00152400,1.00359745,1.00435961,1.00719715,1.00692165,1.00886070,1.00610116,1.00812063,1.00357494,1.00755256,1.00102026
347,1.00416486,1.00513134,1.00468653,1.00394686,1.00426546,1.00410949,1.00841989,1.00355521,1.00298497,1.00723563,1.00389162,1.00335689,1.00315821,1.00496606,1.00525740,1.00825488,1.00322362,1.00710163
348,1.00268077,1.00653566,1.00107269,1.00415731,1.00256210,1.00170783,1.00698386,1.00186801,1.00576308,1.00664949,1.00761563,1.00178977,1.00811850,1.00844076,1.00384364,1.00446505,1.00822301,1.00546259
349,1.00429347,1.00311061,1.00899279,1.00264785,1.00257100,1.00353953,1.00591183,1.00318244,1.00560614,1.00737911,1.00214847,1.00867371,1.00660426,1.00506806,1.00803934,1.00798127,1.00893300,1.00799700
350,1.00161291,1.00709312,1.00552502,1.00706407,1.00124169,1.00117773,1.00764109,1.00485086,1.00686468,1.00654126,1.00831416,1.00657133,1.00422013,1.00356014,1.00863956,1.00639836,1.00853128,1.00647927
351,1.00347951,1.00525823,1.00341194,1.00767742,1.00227166,1.00643039,1.00237132,1.00793561,1.00315567,1.00859671,1.00589915,1.00308182,1.00549625,1.00700401,1.00499632,1.00384801,1.00187489,1.00413591
352,1.00287372,1.00412084,1.00670350,1.00152235,1.00329466,1.00667100,1.00269510,1.00627585,1.00218807,1.00284645,1.00382685,1.00827785,1.00561757,1.00534185,1.00100946,1.00391373,1.00478300,1.00470064
353,1.00432754,1.00225777,1.00831326,1.00883373,1.00395015,1.00158376,1.00679455,1.00347817,1.00580592,1.00794628,1.00873339,1.00113835,1.00694621,1.00475219,1.00580485,1.00435846,1.00788690,1.00686529
354,1.00698307,1.00634333,1.00494808,1.00180606,1.00385336,1.00301363,1.00484663,1.00705196,1.00370177,1.00673495,1.00512318,1.00525877,1.00614013,1.00875452,1.00369949,1.00105018,1.00340435,1.00704593
355,1.00648238,1.00402941,1.00728823,1.00726772,1.00703675,1.00146963,1.00629343,1.00596757,1.00773263,1.00840839,1.00214916,1.00240694,1.00732962,1.00462848,1.00419023,1.00172586,1.00593196,1.00630159
356,1.00760994,1.00508160,1.00353129,1.00389702,1.00781805,1.00687886,1.00590434,1.00815285,1.00432987,1.00573227,1.00242875,1.00371509,1.00610474,1.00580064,1.00466209,1.00680382,1.00191630,1.00151176
357,1.00537647,1.00182202,1.00507273,1.00284290,1.00891235,1.00656456,1.00848030,1.00442879,1.00418698,1.00726381,1.00627322,1.00611143,1.00379030,1.00253232,1.00232306,1.00175170,1.00594134,1.00556188
358,1.00436028,1.00198098,1.00782468,1.00833867,1.00503942,1.00335782,1.00267884,1.00619105,1.00179264,1.00249988,1.00114391,1.00870988,1.00725997,1.00259243,1.00813312,1.00547417,1.00853686,1.00455920
359,1.00195189,1.00239071,1.00117080,1.00553408,1.00286829,1.00825285,1.00799700,1.00531201,1.00630574,1.00509830,1.00579696,1.00806469,1.00892545,1.00842118,1.00207110,1.00756318,1.00184007,1.00665744
360,1.00358612,1.00409974,1.00648168,1.00364314,1.00116759,1.00443547,1.00112534,1.00463458,1.00374640,1.00849984,1.00442828,1.00257200,1.00531401,1.00270155,1.00606083,1.00371775,1.00277743,1.00867092
361,1.00482861,1.00439526,1.00188286,1.00475961,1.00211395,1.00882162,1.00219887,1.00700463,1.00614375,1.00675271,1.00338094,1.00742070,1.00899404,1.00315600,1.00272756,1.00690208,1.00112356,1.00426228
362,1.00212112,1.00824726,1.00317661,1.00565773,1.00760268,1.00841919,1.00640778,1.00608245,1.00271630,1.00478467,1.00288407,1.00824743,1.00813954,1.00184293,1.00886663,1.00860500,1.00721706,1.00489262
363,1.00323726,1.00118764,1.00552322,1.00658157,1.00649828,1.00629764,1.00577198,1.00885920,1.00886886,1.00623434,1.00750900,1.00781015,1.00135041,1.00139517,1.00439528,1.00889636,1.00844621,1.00329488
364,1.00427671,1.00210189,1.00670875,1.00298869,1.00450735,1.00787714,1.00574193,1.00573388,1.00802571,1.00691210,1.00174983,1.00215610,1.00828027,1.00452178,1.00667452,1.00280086,1.00786043,1.00525428
